,venue,latitude,longitude,price_for_two,price_range,rating,address
263,TGI Fridays,17.423492,78.427922,2200.0,4.0,4.1,"1st Floor, Cinemax Building, RK Cineplex, Opposite LV Prasad Hospital, Road 2, Banjara Hills, Hyderabad"
264,Blue Fox,17.423352,78.427821,1400.0,3.0,3.9,"1st Floor, Cinemax Building, RK Cineplex, Road 2, Banjara Hills, Hyderabad"
265,Kanthi Foods,17.435059,78.440376,100.0,1.0,3.4,"8-3-633/44, Tawakkal Nagar, Ambedkar Nagar, Yella Reddy Guda, S R Nagar, Hyderabad"
266,Dessi Cuppa,17.422751,78.429111,200.0,1.0,3.3,"Plot 42, Road 14, Opposite Park Hyatt, Banjara Hills, Hyderabad"
267,Sri Sai Ram,17.436788,78.432318,200.0,1.0,3.1,"Near PJR Statue, Yousufguda X Road, Yousufguda, Hyderabad"
268,Green Bawarchi Restaurant,17.430072,78.428368,600.0,2.0,3.6,"Plot 502-503, Harni Plaza, Kamalapuri Colony, Krishna Nagar, Srinagar Colony, Hyderabad"
269,Thaalimpu,17.432045,78.444686,550.0,2.0,3.7,"8-3-903/10, Nagarjuna Nagar, Bata Road, Ameerpet, Hyderabad"
270,Hashi,17.433624,78.417408,1000.0,3.0,4.4,"Plot 128/A, Road 11, Jubilee Hills, Hyderabad"
271,Lé Vantage Cafe Bar,17.430029,78.417257,1000.0,3.0,4.5,"Plot 197/A & 197, Road 13, Jubilee Hills, Hyderabad"
272,The Clay Pot,17.424913,78.42124,750.0,2.0,3.2,"House 6-2-120/C/98/10, Plot 122, Opposite KBR Park, Road 2, Banjara Hills, Hyderabad"
273,Sri Vinayaka Tiffin Center,17.433435,78.433077,150.0,1.0,0,"Shop 1, Navodaya Colony, Yousufguda, Hyderabad"
274,Tripura Restaurant,17.493448,78.404245,800.0,2.0,2.9,"25/28, Ground Floor, Alluri Trade Centre, KPHB Colony, Kukatpally, Hyderabad"
275,Chutneys,17.496315,78.396904,800.0,2.0,4.0,"Plot 1, One Square Mall, Near Viswanath Theatre, Kukatpally, Hyderabad"
276,BrownBear,17.494308,78.40474,500.0,2.0,3.8,"42, Bhagya Nagar Colony, Usha Mullapudi Road, A.S.Raju Nagar, Kukatpally, Hyderabad"
